Year,Month,Day,Hour,Minute,Close
2023,4,10,3,56,28388.41000000
2023,4,10,3,57,28379.89000000
2023,4,10,3,58,28384.43000000
2023,4,10,3,59,28381.25000000
2023,4,10,4,0,28380.73000000
2023,4,10,4,1,28374.22000000
2023,4,10,4,2,28366.55000000
2023,4,10,4,3,28363.13000000
2023,4,10,4,4,28361.58000000
2023,4,10,4,5,28364.47000000
2023,4,10,4,6,28354.86000000
2023,4,10,4,7,28360.87000000
2023,4,10,4,8,28352.95000000
2023,4,10,4,9,28353.99000000
2023,4,10,4,10,28351.58000000
2023,4,10,4,11,28351.63000000
2023,4,10,4,12,28352.18000000
2023,4,10,4,13,28335.13000000
2023,4,10,4,14,28327.92000000
2023,4,10,4,15,28335.69000000
2023,4,10,4,16,28335.13000000
2023,4,10,4,17,28337.77000000
2023,4,10,4,18,28315.53000000
2023,4,10,4,19,28336.16000000
2023,4,10,4,20,28329.46000000
2023,4,10,4,21,28317.86000000
2023,4,10,4,22,28317.37000000
2023,4,10,4,23,28320.53000000
2023,4,10,4,24,28315.01000000
2023,4,10,4,25,28300.25000000
2023,4,10,4,26,28284.00000000
2023,4,10,4,27,28259.50000000
2023,4,10,4,28,28272.01000000
2023,4,10,4,29,28257.42000000
2023,4,10,4,30,28275.82000000
2023,4,10,4,31,28282.15000000
2023,4,10,4,32,28287.06000000
2023,4,10,4,33,28290.00000000
2023,4,10,4,34,28288.79000000
2023,4,10,4,35,28280.00000000
2023,4,10,4,36,28275.04000000
2023,4,10,4,37,28262.55000000
2023,4,10,4,38,28272.86000000
2023,4,10,4,39,28277.70000000
2023,4,10,4,40,28277.70000000
2023,4,10,4,41,28294.29000000
2023,4,10,4,42,28290.32000000
2023,4,10,4,43,28290.40000000
2023,4,10,4,44,28290.40000000
2023,4,10,4,45,28313.63000000
2023,4,10,4,46,28314.00000000
2023,4,10,4,47,28314.51000000
2023,4,10,4,48,28315.42000000
2023,4,10,4,49,28315.42000000
2023,4,10,4,50,28314.52000000
2023,4,10,4,51,28313.33000000
2023,4,10,4,52,28313.34000000
2023,4,10,4,53,28312.29000000
2023,4,10,4,54,28309.00000000
2023,4,10,4,55,28305.45000000
2023,4,10,4,56,28304.86000000
2023,4,10,4,57,28309.94000000
2023,4,10,4,58,28305.72000000
2023,4,10,4,59,28304.05000000
2023,4,10,5,0,28305.59000000
2023,4,10,5,1,28304.07000000
2023,4,10,5,2,28304.63000000
2023,4,10,5,3,28313.34000000
2023,4,10,5,4,28314.82000000
2023,4,10,5,5,28314.83000000
2023,4,10,5,6,28307.06000000
2023,4,10,5,7,28307.01000000
2023,4,10,5,8,28307.00000000
2023,4,10,5,9,28297.32000000
2023,4,10,5,10,28302.98000000
2023,4,10,5,11,28302.99000000
2023,4,10,5,12,28302.99000000
2023,4,10,5,13,28302.98000000
2023,4,10,5,14,28302.98000000
2023,4,10,5,15,28284.63000000
2023,4,10,5,16,28274.07000000
2023,4,10,5,17,28284.23000000
2023,4,10,5,18,28288.60000000
2023,4,10,5,19,28288.61000000
2023,4,10,5,20,28296.48000000
2023,4,10,5,21,28296.48000000
2023,4,10,5,22,28296.48000000
2023,4,10,5,23,28296.48000000
2023,4,10,5,24,28296.49000000
2023,4,10,5,25,28296.49000000
2023,4,10,5,26,28300.00000000
2023,4,10,5,27,28304.24000000
2023,4,10,5,28,28302.79000000
2023,4,10,5,29,28303.34000000
2023,4,10,5,30,28307.02000000
2023,4,10,5,31,28307.03000000
2023,4,10,5,32,28309.99000000
2023,4,10,5,33,28309.99000000
2023,4,10,5,34,28312.71000000
2023,4,10,5,35,28313.31000000
2023,4,10,5,36,28313.52000000
2023,4,10,5,37,28314.82000000
2023,4,10,5,38,28323.58000000
2023,4,10,5,39,28333.37000000
2023,4,10,5,40,28339.99000000
2023,4,10,5,41,28344.54000000
2023,4,10,5,42,28336.01000000
2023,4,10,5,43,28326.24000000
2023,4,10,5,44,28325.84000000
2023,4,10,5,45,28326.67000000
2023,4,10,5,46,28316.54000000
2023,4,10,5,47,28315.52000000
2023,4,10,5,48,28313.47000000
2023,4,10,5,49,28307.02000000
2023,4,10,5,50,28314.89000000
2023,4,10,5,51,28314.88000000
2023,4,10,5,52,28314.99000000
2023,4,10,5,53,28314.99000000
2023,4,10,5,54,28321.53000000
2023,4,10,5,55,28318.46000000
2023,4,10,5,56,28318.47000000
2023,4,10,5,57,28318.38000000
2023,4,10,5,58,28307.91000000
2023,4,10,5,59,28296.00000000
2023,4,10,6,0,28305.68000000
2023,4,10,6,1,28305.83000000
2023,4,10,6,2,28305.26000000
2023,4,10,6,3,28314.39000000
2023,4,10,6,4,28306.65000000
2023,4,10,6,5,28280.85000000
2023,4,10,6,6,28283.28000000
2023,4,10,6,7,28278.94000000
2023,4,10,6,8,28278.01000000
2023,4,10,6,9,28269.24000000
2023,4,10,6,10,28277.21000000
2023,4,10,6,11,28269.88000000
2023,4,10,6,12,28274.35000000
2023,4,10,6,13,28286.98000000
2023,4,10,6,14,28286.42000000
2023,4,10,6,15,28282.81000000
2023,4,10,6,16,28278.72000000
2023,4,10,6,17,28276.68000000
2023,4,10,6,18,28276.91000000
2023,4,10,6,19,28275.43000000
2023,4,10,6,20,28274.95000000
2023,4,10,6,21,28286.50000000
2023,4,10,6,22,28298.44000000
2023,4,10,6,23,28300.51000000
2023,4,10,6,24,28300.52000000
2023,4,10,6,25,28300.85000000
2023,4,10,6,26,28300.88000000
2023,4,10,6,27,28303.69000000
2023,4,10,6,28,28304.08000000
2023,4,10,6,29,28304.47000000
2023,4,10,6,30,28311.61000000
2023,4,10,6,31,28312.78000000
2023,4,10,6,32,28315.63000000
2023,4,10,6,33,28313.20000000
2023,4,10,6,34,28317.89000000
2023,4,10,6,35,28318.06000000
2023,4,10,6,36,28317.67000000
2023,4,10,6,37,28317.67000000
2023,4,10,6,38,28317.62000000
2023,4,10,6,39,28314.95000000
2023,4,10,6,40,28306.46000000
2023,4,10,6,41,28300.01000000
